Neuron,seq0,reporter0,seq1,reporter1,seq2,reporter2,seq3,reporter3,seq4,reporter4,seq5,reporter5,seq6,reporter6,seq7,reporter7,seq8,reporter8,seq9,reporter9,seq10,reporter10,seq11,reporter11,seq12,reporter12,seq13,reporter13,seq14,reporter14,seq15,reporter15,seq16,reporter16,seq17,reporter17,seq18,reporter18,seq19,reporter19,seq20,reporter20,seq21,reporter21,seq22,reporter22,seq23,reporter23,seq24,reporter24,seq25,reporter25,seq26,reporter26,seq27,reporter27,seq28,reporter28,seq29,reporter29,seq30,reporter30,seq31,reporter31,seq32,reporter32
AWC_ON,356.331927614225,1,62.6465533324635,0,0.0,0,25.74956,0,0.0,1,0.0,0,178.374867685481,1,41.7751334442848,1,0.0,0,80.29934,1,95.6269851895905,0,163.484922366243,0,187.940833405627,1,0.0,0,0.0,0,100.311659182751,1,22.6082962422849,1,0.0,1,300.764771377002,0,166.926182721741,0,218.59553489587,1,344.731633611832,1,0.0,0,41.1000531973981,0,0.979964240513828,1,49.4103924031613,0,0.0,0,0.0,0,0.0,0,0.0,1,289.736891476975,0,67.0151985721877,0,0.0,0
AVA,465.338387389061,1,47.3566303722663,1,0.0,0,22.13066,0,0.0,0,159.493575890814,1,232.10434837939,0,33.3513271864317,0,46.0613777781593,1,0.0,0,0.0,0,0.0,0,71.1798176972155,0,0.0,0,0.0,0,88.6041420364831,0,38.61730368881,0,0.0,0,97.1773625729604,1,496.199422767702,0,167.945510745387,0,0.0,0,0.0,0,129.124534966098,1,0.0,1,8.43408939404144,0,114.823553666605,1,83.44431,1,25.2334978790318,1,1519.40974086652,0,156.070158858115,0,41.8449643944848,0,88.73466,1
ADF,195.527501926009,1,0.0,0,476.837915773425,0,0.0,1,0.0,1,0.0,0,72.4959726992335,0,25.51688653127,1,25.0447577628398,0,81.41294,1,45.1829224299054,1,24.2972750712593,1,32.9575702808252,0,0.0,0,27.771444329697,1,48.6260193072672,0,45.2730014351152,0,0.0,1,205.807690053121,1,110.76997140787,0,407.278464870812,1,0.0,1,0.0,0,0.0,0,22.9075877881879,1,96.5176545743944,1,0.0,0,0.0,0,0.0,0,0.0,0,126.158324589704,0,0.0,0,0.0,0
AIB,193.762123571428,1,46.2888683884661,1,4969.38622543346,0,0.0,0,0.0,0,26.2747671673031,0,112.768710185713,0,23.5136952935251,0,166.308783612524,0,0.0,0,7.52800681881106,0,0.0,0,175.016668542535,0,75.9913618860025,0,0.0,0,65.6690356229022,0,27.3774296799695,0,0.0,0,80.2281741805553,0,268.964234520806,0,117.296999896893,0,24.640278639824,0,7.093425,0,61.3813292523714,1,0.0,0,0.0,0,52.5157406667458,0,0.0,1,0.0,0,0.0,0,131.33257928386,0,178.049070332051,1,30.60968,1
AIZ,301.06987163128,1,20.4309450183762,0,0.0,0,0.0,0,0.0,1,370.249303590432,0,399.984132029765,0,20.9266080323076,0,187.274707045858,0,11.79302,0,0.0,0,0.0,0,145.541103163562,0,117.429018132005,0,745.3182478675,0,78.4865982549351,1,10.6465085629675,0,0.0,0,104.373884717542,0,339.043946772532,0,230.434306585569,0,48.3778125936968,0,3.843825,0,42.9443857721925,0,0.0,0,0.0,0,62.4171748337401,0,12.59404,0,0.0,1,0.0,0,104.029319074284,0,361.513827634924,1,0.0,0
ASEL,533.534556900667,1,0.0,0,555.078564195392,0,0.0,0,0.0,0,0.0,0,198.686815970207,1,45.6404596765621,1,0.0,0,20.40213,1,52.0209688952159,0,33.7071276127637,1,167.398174300164,1,0.0,0,0.0,1,115.451966044918,0,35.396172949514,1,0.0,1,361.17231585003,1,127.511435783256,0,285.123476462286,1,0.0,1,0.0,0,0.0,0,40.1466984801604,1,80.9199201715005,1,47.9245478454015,0,0.0,0,0.0,0,0.0,0,535.934934396406,0,121.793520796832,0,0.0,0
ASER,397.170427778733,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,255.502893324106,1,69.5602195310324,1,69.5586035689521,0,113.6895,1,47.3454724933134,0,14.551648023958,1,261.009562737793,1,0.0,0,297.532450852158,1,116.614449179445,0,24.2195426216409,1,0.0,1,458.946307931575,1,273.85031396634,0,375.927840552293,1,0.0,1,2.392437,0,41.8931974802603,0,10.9961648999163,1,153.392702592552,1,58.8878459747714,0,0.0,0,0.0,0,0.0,0,312.642800677717,0,81.0238225287819,0,0.0,0
ASH,221.84857511924,1,14.8780852593455,0,0.0,0,0.0,0,24.19587,1,0.0,0,132.313407707204,1,11.3797589951137,1,0.0,1,0.0,0,45.8694648485543,1,0.0,0,72.3544981770966,0,0.0,0,49.2865388701426,1,25.0029196252653,1,10.9836451188006,0,0.0,1,530.059693452239,1,128.323063818945,0,91.0638085252516,1,0.0,0,1.248139,0,0.0,0,66.4273179112058,1,83.2174503263361,1,0.0,0,10.35762,0,0.0,1,0.0,0,250.489509625054,0,347.065477244092,0,0.0,0
ASI,78.6885836917599,1,44.18654278854,1,0.0,1,0.0,0,0.0,1,14.1772517687938,0,58.1342361186769,0,52.88190930827,1,49.920891962085,0,10.33689,0,41.5860376425297,0,94.5923899914265,1,33.0366865377476,0,0.0,0,346.235268705123,1,16.4203548893784,1,35.0266677106356,0,0.0,0,331.829207096092,1,118.799781902164,0,117.085130542022,1,0.0,1,0.0,0,0.0,0,7.50676295874149,1,113.529951673861,1,0.0,0,0.0,0,7.82536818412158,1,0.0,0,66.3786503121065,0,0.0,0,0.0,0
ASK,135.640343472404,1,14.1121642405683,1,1148.09737154834,1,0.0,0,0.0,1,30.627716024592,0,180.945746676271,1,30.962920169052,1,71.2628436021646,1,26.63128,0,52.1387344338158,0,268.440980492102,1,84.2633579341668,0,0.0,0,0.0,0,85.2152412967605,1,0.0,0,0.0,0,482.742369570044,1,221.545731983288,0,87.7498748951226,1,0.0,0,0.0,0,0.0,0,17.1382728618498,1,189.183444306365,1,0.0,0,0.0,0,9.68022738357873,1,0.0,0,217.560543780441,0,534.132420838196,0,11.04745,0
